Player: X; Column: 0; 38/78
Player: O; Column: 0; 11/17
Player: X; Column: 0; 1/3
Player: X; Column: 1; 0/2
Player: X; Column: 2; 2/3
Player: X; Column: 3; 0/2
Player: X; Column: 4; 0/2
Player: X; Column: 5; 1/2
Player: X; Column: 6; 2/3
Player: O; Column: 1; 1/6
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/0
Player: O; Column: 2; 2/7
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 3; 1/6
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/0
Player: O; Column: 4; 15/20
Player: X; Column: 0; 0/2
Player: X; Column: 1; 1/4
Player: X; Column: 2; 0/2
Player: X; Column: 3; 0/2
Player: X; Column: 4; 0/2
Player: X; Column: 5; 1/3
Player: X; Column: 6; 3/5
Player: O; Column: 5; 7/13
Player: X; Column: 0; 1/2
Player: X; Column: 1; 1/2
Player: X; Column: 2; 1/2
Player: X; Column: 3; 1/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/2
Player: X; Column: 6; 1/2
Player: O; Column: 6; 3/9
Player: X; Column: 0; 2/2
Player: X; Column: 1; 0/1
Player: X; Column: 2; 2/2
Player: X; Column: 3; 0/1
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: X; Column: 1; 25/59
Player: O; Column: 0; 4/8
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 2/2
Player: X; Column: 4; 0/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 1/1
Player: O; Column: 1; 11/14
Player: X; Column: 0; 0/2
Player: X; Column: 1; 0/2
Player: X; Column: 2; 1/2
Player: X; Column: 3; 0/2
Player: X; Column: 4; 0/2
Player: X; Column: 5; 1/2
Player: X; Column: 6; 1/2
Player: O; Column: 2; 7/10
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/2
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/2
Player: X; Column: 5; 0/1
Player: X; Column: 6; 1/2
Player: O; Column: 3; 2/6
Player: X; Column: 0; 1/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 0/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
Player: X; Column: 6; 0/0
Player: O; Column: 4; 1/5
Player: X; Column: 0; 0/1
Player: X; Column: 1; 1/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 1/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 0/0
Player: X; Column: 6; 0/0
Player: O; Column: 5; 3/7
Player: X; Column: 0; 0/1
Player: X; Column: 1; 0/1
Player: X; Column: 2; 1/1
Player: X; Column: 3; 0/1
Player: X; Column: 4; 1/1
Player: X; Column: 5; 1/1
